,3251
state/country: australia; county: south australia; town/area: coober pedy; mine/site: n/a,2
state/country: norway; county: telemark; town/area: kragero; mine/site: n/a,2
state/country: arizona; county: cochise; town/area: tombstone; mine/site: n/a,2
state/country: new zealand; county: nelson; town/area: canaan; mine/site: takaka hill,2
state/country: california; county: tulare; town/area: drum valley; mine/site: n/a,2
state/country: mexico; county: guanajuato; town/area: n/a; mine/site: n/a,2
state/country: texas; county: lampasas; town/area: lampasas; mine/site: n/a,2
state/country: california; county: inyo; town/area: death valley; mine/site: monte blanco,2
state/country: arizona; county: pinal; town/area: superior; mine/site: ajax,2
state/country: canada; county: ontario; town/area: cardiff; mine/site: silver crater,2
state/country: california; county: san bernardino; town/area: valley wells; mine/site: limestone quarry,2
state/country: mexico; county: n/a; town/area: guanajuato; mine/site: perigrina,2
state/country: canada; county: ontario; town/area: bancroft; mine/site: davis quarry,2
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: belt mine property,2
state/country: arizona; county: yavapai; town/area: camp verde; mine/site: n/a,2
state/country: new jersey; county: sussex; town/area: franklin; mine/site: buckwheat dump,2
state/country: peru; county: huancavelica department; town/area: angaraes province; mine/site: julcani district,2
state/country: new mexico; county: socorro; town/area: magdelena; mine/site: kelly,2
state/country: morocco; county: n/a; town/area: bou beker; mine/site: n/a,2
state/country: michigan; county: dickinson; town/area: near felch; mine/site: metronite quarry,2
state/country: michigan; county: marquette; town/area: n/a; mine/site: ropes gold,2
state/country: morocco; county: n/a; town/area: miblanden; mine/site: n/a,2
state/country: wisconsin; county: outagamie; town/area: n/a; mine/site: mackville quarry,2
state/country: arizona; county: pinal; town/area: ray ; mine/site: kennecott copper,2
state/country: austria; county: n/a; town/area: lobming; mine/site: n/a,2
state/country: arizona; county: cochise; town/area: huachuca mtns.; mine/site: miller canyon,2
state/country: arizona; county: pima; town/area: n/a; mine/site: silver bell,2
state/country: russia; county: kola peninsula; town/area: khibina massif; mine/site: kukisvumchorr mt.,2
state/country: namibia; county: otavi; town/area: kombat; mine/site: kombat mine,2
state/country: california; county: san benito; town/area: n/a; mine/site: clear creek,2
state/country: greece; county: n/a; town/area: laurion; mine/site: n/a,2
state/country: madagascar; county: n/a; town/area: antsirabe; mine/site: mont ibity,2
state/country: new mexico; county: socorro; town/area: bingham; mine/site: n/a,2
state/country: utah; county: piute; town/area: marysvale; mine/site: n/a,2
state/country: namibia; county: n/a; town/area: tsumeb; mine/site: tsumcorp,2
state/country: chile; county: n/a; town/area: sierra gorda; mine/site: n/a,2
state/country: chile; county: n/a; town/area: chuquicamata; mine/site: n/a,2
state/country: utah; county: tooele; town/area: n/a; mine/site: rustler,2
state/country: california; county: san bernardino; town/area: kramer mts. ; mine/site: n/a,2
state/country: mexico; county: sonora; town/area: n/a; mine/site: mina del desierto,2
state/country: california; county: inyo; town/area: bishop; mine/site: n/a,2
state/country: new hampshire; county: grafton; town/area: north groton; mine/site: palermo,2
state/country: california; county: riverside; town/area: homeland; mine/site: lake view mts.,2
state/country: brazil; county: minas gerias; town/area: governador valadares; mine/site: n/a,2
state/country: kirghizia; county: turkestan range; town/area: karasu; mine/site: n/a,2
state/country: nevada; county: pershing; town/area: n/a; mine/site: majuba hill,2
state/country: arizona; county: pinal; town/area: tiger; mine/site: mammoth-st. anthony,2
state/country: brazil; county: bahia; town/area: n/a; mine/site: n/a,2
state/country: montana; county: powell; town/area: drummond; mine/site: n/a,2
state/country: arizona; county: gila; town/area: globe; mine/site: apache,2
state/country: russia; county: kola peninsula; town/area: kovdor; mine/site: n/a,2
state/country: russia; county: n/a; town/area: n/a; mine/site: n/a,2
state/country: canada; county: yukon; town/area: rapid creek; mine/site: n/a,2
